owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
preslavsh_fmiup	1	0	1	1	1	0	28	0	0	0	20.733333333333334	1	0	0	15	20170930	20171111
presscorp_ImageFlow	1	0	1	1	1	0	20	0	0	0	115.41666666666667	1	0	0	12	20160219	20160219
primeare_LinkedList	1	0	1	1	1	0	6	0	0	0	99.5	1	0	0	6	20160409	20180418
primenumber_ReversiGameServer	1	0	1	1	1	0	124	0	0	0	32.666666666666664	1	0	0	3	20130819	20131019
primenumber_bf-utils	1	0	1	1	1	0	2	0	0	0	14.0	1	0	0	2	20151209	20160111
primoze_dots-core	1	0	1	1	1	0	38	0	0	0	16.055555555555557	1	0	0	18	20161215	20170202
printfchan_Leetcode	1	0	1	1	1	0	564	0	0	0	35.266666666666666	1	0	0	30	20140406	20140907
printfchan_PAT	1	0	1	1	1	0	124	0	0	0	12.0	1	0	0	1	20140406	20140406
prio_cxxapiref	1	0	1	1	1	0	2345	0	0	0	14.0	1	0	0	1	20110722	20180119
priseup_nfa	1	0	1	1	1	0	13	0	0	0	21.272727272727273	1	0	0	11	20161028	20161028
proaralyst_Craven	1	0	1	1	1	0	5248	0	0	0	42.86666666666667	1	0	0	343	20151222	20160919
probzero_RobozitoUltimate-master	1	0	1	1	1	0	112	0	0	0	12.0	1	0	0	1	20131003	20131003
proctorio_Traffic-Light	0	0	1	1	1	0	802	0	0	0	28.5	3	0	0	10	20160306	20180420
procule_IRAnalyzer	1	0	1	1	1	0	147	0	0	0	23.0	1	0	0	5	20130825	20181023
profdevi_MWakeOnLan	1	0	1	1	1	0	332	0	0	0	21.833333333333332	1	0	0	6	20140606	20140618
profjeferson_paradigmas	1	0	1	1	1	0	152	0	0	0	24.285714285714285	1	0	0	7	20130726	20130824
profmaad_webcli	1	0	1	1	1	0	172	0	0	0	34.75	1	0	0	12	20120916	20150807
proger_nar	1	0	1	1	1	0	132	0	0	0	14.0	1	0	0	1	20140802	20140802
programacionUCLA_cortucars	0	0	1	1	1	0	25	0	0	0	20.0	2	0	0	5	20160612	20160612
project-zerus_brood	0	0	1	1	1	0	148	0	0	0	104.4	2	0	0	5	20140213	20140820
project-zerus_id	0	0	1	1	1	0	184	0	0	0	124.625	2	0	0	8	20140213	20140814
projectgalateia_spvis_s	1	0	1	1	1	0	184	0	0	0	20.53846153846154	1	0	0	13	20140713	20140714
projectzen_Beaglebone-LSM9DS0	0	0	1	1	1	0	164	0	0	0	21.857142857142858	2	0	0	7	20150316	20160430
projetpeip-montp2_badger	0	12	1	1	1	0	1952	0	0	0	41.3	2	0	0	80	20120414	20131029
prometx_game_base	1	0	1	1	1	0	19	0	0	0	36.5	1	0	0	12	20160225	20160225
pronchakov_hardware-desktop-unlocker	1	0	1	1	1	0	132	0	0	0	12.4	1	0	0	5	20141103	20141107
prophile_tsort2	1	0	0	0	1	0	96	0	0	0	70.0	1	0	0	3	20100424	20131222
propk_online-judge-coding	1	0	1	1	1	0	440	0	0	0	21.333333333333332	1	0	0	6	20141025	20141228
prosthetichead_Arcadia	1	0	1	1	1	0	6707	0	0	0	50.43333333333333	1	0	0	74	20160930	20160930
proubatsis_LED-Cube-Designer	1	0	1	1	1	0	224	0	0	0	15.857142857142858	1	0	0	7	20150509	20150509
proydakov_vjoyqt	1	0	1	1	1	0	148	0	0	0	34.42857142857143	1	0	0	21	20110730	20140526
prpr-man_Cevious	1	0	1	1	1	0	152	0	0	0	29.2	1	0	0	5	20140119	20140120
prpr-man_prpr-man-readable-code-tsukuba	1	3	1	1	1	0	104	0	0	0	19.88888888888889	1	0	0	9	20150704	20150704
prprhyt_color_detection	1	0	1	1	1	0	3729	0	0	0	23.0	1	0	0	12	20160109	20160112
prprprpony_XAXB	1	0	1	1	1	0	107	0	0	0	31.75	1	0	0	4	20151027	20151027
prshreshtha_parse-utils	1	2	1	1	1	0	180	0	0	0	25.333333333333332	1	0	0	6	20140130	20160119
prshreshtha_slotty	1	3	1	1	1	0	45	0	0	0	41.21052631578947	1	0	0	19	20141023	20171010
prucha_genetic-algorithm	1	0	1	1	1	0	268	0	0	0	24.818181818181817	1	0	0	11	20140807	20140906
prucha_neural-networks	1	0	1	1	1	0	408	0	0	0	21.25	1	0	0	8	20140907	20140907
psalios_Bloomberg-CodeCon-Finals-2016	1	0	1	1	1	0	3	0	0	0	43.2	1	0	0	5	20160119	20180107
psarna_fsalloc	1	0	1	1	1	0	16	0	0	0	43.0	1	0	0	4	20151029	20160111
psh117_SuhanVision	1	0	1	1	1	0	32	0	0	0	27.4	1	0	0	5	20150922	20171113
psibi_csv-parser	1	3	1	1	1	0	227	0	0	0	21.533333333333335	1	1	0	15	20120907	20180911
psiha_pimpl	1	0	1	1	1	0	14	0	0	0	76.55555555555556	1	0	0	18	20160516	20180322
psiha_sweater	1	0	1	1	1	0	112	0	0	0	101.43333333333334	1	0	0	96	20160905	20181024
psittacus_Arraytabelle	1	0	1	1	1	0	8	0	0	0	17.25	1	0	0	4	20150620	20180905
psittacus_Gameofchance	1	0	1	1	1	0	132	0	0	0	19.0	1	0	0	5	20150625	20150625
psittacus_Paintballtactix	1	0	1	1	1	0	132	0	0	0	44.0	1	0	0	2	20150902	20150902
pspaans_spark_tlc_driver	1	1	1	1	1	0	132	0	0	0	9.833333333333334	1	0	0	6	20150115	20150115
psychomantys_hurricane_lang	1	0	1	1	1	0	128	0	0	0	39.833333333333336	1	0	0	6	20131010	20131015
ptahpeteh_ce	1	0	1	1	1	0	6	0	0	0	30.818181818181817	1	0	0	11	20160130	20160130
ptillet_perspective-manipulation	1	0	1	1	1	0	1120	0	0	0	33.5	1	0	0	2	20130915	20170328
ptjohns2_BFint	1	0	1	1	1	0	252	0	0	0	22.0	1	0	1	13	20140630	20140827
ptjohns2_MIPSEM	1	0	1	1	1	0	18800	0	0	0	51.6	1	0	0	193	20140507	20160924
ptjohns2_MandelbrotViewerQt	1	0	1	1	1	0	35956	0	0	0	90.88	1	0	1	25	20140801	20160924
